index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
1320	main-captions	images	2014	467	none	none	a blue motorcycle is parked on the sidewalk.	a blue moped parked on the sidewalk.	4
1321	main-captions	images	2014	469	none	none	a red double decker bus on a city street.	a red double decker bus driving down a street.	4.8
1322	main-captions	images	2014	470	none	none	two trains inside a train station.	the train sits at the train station.	2.4
1323	main-captions	images	2014	473	none	none	a man riding a white horse.	a woman with a white horse.	2.2
1324	main-captions	images	2014	475	none	none	a man and two women smiling at the camera while sitting on a blue sofa.	a man and women smiling at the camera while standing in a kitchen.	2.2
1325	main-captions	images	2014	478	none	none	a large cruise ship in harbor with trees behind.	a cruise ship docked at a coast.	3.4
1326	main-captions	images	2014	480	none	none	two cows crossing a road intersection.	two cows cross a paved street.	3.8
1327	main-captions	images	2014	481	none	none	several cows grazing on the median by the road.	five cows grazing on a patch of grass between two roadways.	4
1328	main-captions	images	2014	484	none	none	a black cow and a brown cow stands in a plain in front of an uprooted tree.	a black cow and a brown cow standing in front of a small copse of trees in a field.	4.2
1329	main-captions	images	2014	485	none	none	red double decker bus driving down street.	a double decker bus on a city street.	3.6
1330	main-captions	images	2014	487	none	none	tan cow with ear tags on a grassy field.	person in grassy field tending to sheep.	1.2
1331	main-captions	images	2014	488	none	none	a close up of the front end of a purple and white motor cycle.	close up of the rear of a red sports car.	1.2
1332	main-captions	images	2014	489	none	none	two women shopping at a clothing store.	two women in a clothing store.	4.6
1333	main-captions	images	2014	490	none	none	a group of people sitting at a restaurant table.	group of people sitting at table of restaurant.	4.6
1334	main-captions	images	2014	491	none	none	a close-up of a brown horse's head.	a close-up of a yellow school bus.	0
1335	main-captions	images	2014	492	none	none	a person in a red cap standing next to a brick support beam.	a brown horse is standing on grass and scrub.	0
1336	main-captions	images	2014	493	none	none	a bay foal is walking next to its mother in a grassy field.	close-up of young horse walking next to a larger horse.	2.6
1337	main-captions	images	2014	494	none	none	a women standing next to a brown cow.	a women in glasses stands next to a cow in a field.	3.8
1338	main-captions	images	2014	496	none	none	a dog peaks out the back of a truck.	a dog is peeking out of the back of a van.	3.6
1339	main-captions	images	2014	497	none	none	woman in blue shift dress cutting into food.	a woman in a blue dress cuts a cake.	3.8
1340	main-captions	images	2014	498	none	none	the black and white cat is looking up at the camera.	a grey, black, and white cat looking at the camera.	3.6
1341	main-captions	images	2014	499	none	none	two brunette girls sit atop a red an yellow motorcycle with a side car.	a couple posing on a red and yellow motorcycle.	3.2
1342	main-captions	images	2014	500	none	none	a small white cat standing in a sink.	grey and white cat sitting in bathroom sink.	3.6
1343	main-captions	images	2014	501	none	none	a man on the back seat of a red tandem bicycle.	a man is alone on the back of a tandem bicycle.	3.6
1344	main-captions	images	2014	504	none	none	a computer on a desk.	a computer operating on a desk.	4
1345	main-captions	images	2014	505	none	none	a small child smiling at the camera.	a small child sits on a cement wall near white flower.	1.6
1346	main-captions	images	2014	506	none	none	a little bird floating in the water.	a duck floating in the water.	2.4
1347	main-captions	images	2014	508	none	none	a white bus with the word julia is near water and a big ship.	a white bus with water and a barge in the background.	3.8
1348	main-captions	images	2014	510	none	none	old blue and white train on tracks.	a blue train in a mountainous area.	2.6
1349	main-captions	images	2014	513	none	none	yellow boat on a beach.	a yellow boat on shore.	4
1350	main-captions	images	2014	515	none	none	a kitchendiner with papers laying on the blue clothed dining table.	a small kitchen and a cluttered table with a blue table cloth.	3.4
1351	main-captions	images	2014	516	none	none	train in a station.	trains inside an indoor station.	3.8
1352	main-captions	images	2014	517	none	none	a gray cat is sitting on the window ledge looking at the camera.	the cat is standing on the window sill looking at the camera.	4
1353	main-captions	images	2014	520	none	none	man playing guitar while sitting down.	red and white bus driving down road.	0
1354	main-captions	images	2014	522	none	none	red double decker bus driving down a street.	a double decker bus on a city street.	4.2
1355	main-captions	images	2014	524	none	none	three cows are grazing in a grassy field.	three cows grazing in a field.	4.6
1356	main-captions	images	2014	525	none	none	the brown train is sitting on the railroad tracks.	the white train is sitting on the tracks.	2.25
1357	main-captions	images	2014	526	none	none	a black and white horned cow standing in a field.	a black and white photo of a cat sitting on a sofa.	0.4
1358	main-captions	images	2014	528	none	none	a tiny blonde child in a blue dress sits on a table near her mother.	a young blonde girl wearing a helmet sits with a red bicycle behind her.	1.6
1359	main-captions	images	2014	529	none	none	a group of people sitting at a restaurant table.	a group of people sitting around a table on a porch.	2.6
1360	main-captions	images	2014	530	none	none	a black and white cow in a pen with hay.	a black and white cat lies in the dirt.	0.4
1361	main-captions	images	2014	531	none	none	a red, double-decker bus.	front and left side of a red double decker bus.	3.2
1362	main-captions	images	2014	533	none	none	a close-up view of a horse's head.	a side view of a horse's head.	3.2
1363	main-captions	images	2014	535	none	none	an old fashioned wooden sailing ship in the ocean.	a wooden yacht on the ocean.	3.2
1364	main-captions	images	2014	536	none	none	a sheep standing in a mountainous area.	a large sheep standing on a hill.	4.4
1365	main-captions	images	2014	538	none	none	a white plane on the runway.	a white airplane is on a runway.	4.8
1366	main-captions	images	2014	539	none	none	a tan puppy being petted.	a tan puppy being held and petted.	4.4
1367	main-captions	images	2014	541	none	none	elegant dining room with wood furniture.	an elegant pink dining room with wooden furniture.	3.8
1368	main-captions	images	2014	542	none	none	a women laying across two men sitting on a sofa.	two men in shorts are sitting on a sofa.	2
1369	main-captions	images	2014	543	none	none	two motorbikes on a dirt track.	two dirt bikers riding over dirt hill.	3.6
1370	main-captions	images	2014	545	none	none	the black and white cat is looking up at the camera.	a black and white dog looking at the camera.	2.2
1371	main-captions	images	2014	547	none	none	a gray cat with green eyes looks at the camera.	a grey cat with green eyes looking into the camera.	5
1372	main-captions	images	2014	548	none	none	two lambs stand on a grassy hill.	two dirt bikers riding over dirt hill.	0.2
1373	main-captions	images	2014	554	none	none	a man in white with a wine bottle and a woman in a red turtleneck with a white vest.	a man and woman posing on a field with a bottle of wine.	3
1374	main-captions	images	2014	555	none	none	a lone cow sits in the cold of the yard.	a black and white cow standing in the field.	1.8
1375	main-captions	images	2014	556	none	none	a double decker bus drives on a city street.	a red double decker bus driving down a street.	3.6
1376	main-captions	images	2014	557	none	none	large black and white cat resting on a windowsill.	a small white cat sitting in a sink.	1.8
1377	main-captions	images	2014	558	none	none	boy feeding a sheep.	a boy feeding a sheep hay.	4.2
1378	main-captions	images	2014	560	none	none	a girl in a black desktop holds up an open box of corn flakes and a carton of milk.	a girl wearing black shorts and boots is standing next to a blue motorcycle.	0
1379	main-captions	images	2014	561	none	none	a close up of a small cactus in a pot.	a close up of a woman holding a white puppy.	0.8
1380	main-captions	images	2014	562	none	none	the white sheep is standing on the green hill.	a sheep stands on a hillside.	4
1381	main-captions	images	2014	564	none	none	a black and white bird on a body of water with grass in the background.	a bus is on a road with a ferris wheel in the background.	0
1382	main-captions	images	2014	565	none	none	a wooden bicycle with an awning.	a group of elderly people sitting around a dining table.	0
1383	main-captions	images	2014	566	none	none	a black and white photo of a dilapidated wooden fence.	a black and white photo of an old wooden fence near a dirty street.	4.5
1384	main-captions	images	2014	568	none	none	two brown horses standing in a green meadow.	a brown horse stands in tall grass.	2.6
1385	main-captions	images	2014	569	none	none	two men wearing bike helmets.	two men stand with their bicycles outside a shop.	1.6
1386	main-captions	images	2014	573	none	none	a man playing a video game in a store.	man playing game in a store.	3.4
1387	main-captions	images	2014	574	none	none	a group of people sitting around a table on a porch.	a group of people sitting around a table with food on it.	3.6
1388	main-captions	images	2014	576	none	none	a young girl wearing a bike helmet with a bicycle in the background.	a women holds a small dog on a leash with chairs in the background.	0
1389	main-captions	images	2014	577	none	none	the back of a stop sign with many stickers on it.	the back of the stop sign is adorned with stickers.	5
1390	main-captions	images	2014	578	none	none	a bicycle is parked outside a bookstore.	a green bike parked outside a book store.	4
1391	main-captions	images	2014	579	none	none	a brown double decker tour bus on a street with a ferris wheel behind it.	a double-decker bus driving in front of a ferris wheel.	4.4
1392	main-captions	images	2014	580	none	none	a black and white chair sitting in front of a brick wall and a window with a bamboo plant in a vase.	a black headed sheep covered in thick white wool stands in a pasture with other sheep.	0.6
1393	main-captions	images	2014	583	none	none	a man in a black uniform on a white horse.	a man in a tux on a white horse.	3.6
1394	main-captions	images	2014	585	none	none	two women stand in a living room with a black dog.	two women standing in a living room with a black dog looking towards the camera.	4
1395	main-captions	images	2014	587	none	none	two people paddling a red canoe are reflected in the still water.	two people paddling in a red canoe with trees in the background.	3.2
1396	main-captions	images	2014	588	none	none	a close-up view of the headlights of a blue old-fashioned car.	close up of the headlights on a blue car.	4
1397	main-captions	images	2014	590	none	none	cars driving near a model building.	vehicles driving infant of an ornate building.	2.4
1398	main-captions	images	2014	592	none	none	a blue and orange airplane flying with its landing gear down.	a red and blue plane flying with its landing gears down.	2.6
1399	main-captions	images	2014	595	none	none	a black and white cat lying on a blanket.	a black and white cat sleeps on a purple blanket.	4
1400	main-captions	images	2014	596	none	none	a building with a temporary sign over the entrance to its parking lot.	road with the rear image of the tail lights of a bus.	0.2
1401	main-captions	images	2014	597	none	none	a group of people sitting around a table containing food.	a group of people sitting around a table on a porch.	3.4
1402	main-captions	images	2014	598	none	none	a man and women sitting on a sofa holding a small baby.	a woman sitting on a sofa holding a baby.	3.2
1403	main-captions	images	2014	599	none	none	a black and white cat lying on a blanket.	a black and white cat sleeping on its side on a purple blanket.	3
1404	main-captions	images	2014	600	none	none	a black and white photo of a love seat.	a black and white photo of a bicycle.	1.8
1405	main-captions	images	2014	601	none	none	a living room with a dining table in the background.	view of a living room with a dining room in the background.	4.2
1406	main-captions	images	2014	603	none	none	a red and gray train is going through a tunnel.	a red and gray train travels through a tunnel amongst the trees.	4.25
1407	main-captions	images	2014	604	none	none	red double decker bus with hood open.	an old red london double decker bus with its hood raised.	4.2
1408	main-captions	images	2014	606	none	none	a man riding a white horse.	a woman leading a white horse.	1.8
1409	main-captions	images	2014	607	none	none	view of a living room with a dining room in the background.	a living room with large sofas and a dining table in the background.	3.8
1410	main-captions	images	2014	608	none	none	an orange kitten lay on a leather couch.	young couple sitting on a black couch.	0.8
1411	main-captions	images	2014	612	none	none	a person wearing a bike helmet talks on a cell phone.	a person wearing a helmet rides a bike near a white structure.	3
1412	main-captions	images	2014	613	none	none	a subway train pulling into the station.	a white train pulling into a station.	3.6
1413	main-captions	images	2014	614	none	none	a bicycle is parked by a shop.	a green bike parked outside a book store.	3.8
1414	main-captions	images	2014	615	none	none	two men standing on beach.	two women standing in front of tour bus.	0
1415	main-captions	images	2014	617	none	none	long-haired black dog standing in grassy field.	a blue jay standing in a grassy field.	1.4
1416	main-captions	images	2014	618	none	none	a small desk with chair near a laundry closet.	a room with tan walls and a washer and dryer.	0.2
1417	main-captions	images	2014	619	none	none	red double decker bus driving through the streets.	red double decker bus driving down a street.	4.6
1418	main-captions	images	2014	620	none	none	a goose flapping its wings in a body of water.	a black swan flapping its wings on the water.	3
1419	main-captions	images	2014	624	none	none	boy laying on couch with dog.	the boy is lying on a couch with a puppy.	4.4
1420	main-captions	images	2014	625	none	none	a black and white image of a cat laying on a rug.	black and white picture of a cat laying on a rug.	5
1421	main-captions	images	2014	626	none	none	a large jet on the ground at the airport.	a large airplane parked at the airport at night.	3.6
1422	main-captions	images	2014	628	none	none	two women are sitting in a cafe.	two men catching a fish in a swamp.	0
1423	main-captions	images	2014	629	none	none	eight bottles of harp lager lined up on the floor.	eight bottles of harp beer lined up on a wooden floor.	4
1424	main-captions	images	2014	632	none	none	a small child smiling at the camera.	a cat looking at the camera.	1.4
1425	main-captions	images	2014	633	none	none	a woman riding a brown horse.	person dressed in blue riding brown horse.	2.6
1426	main-captions	images	2014	634	none	none	photo of a television screen showing a movie.	the wall-mounted flat-screen tv is showing a movie.	3.2
1427	main-captions	images	2014	635	none	none	a bird perched on a flowerpot.	bird perched on a flowerpot beside a stucco wall.	4.2
1428	main-captions	images	2014	636	none	none	white cat sitting inside of a sink.	grey and white cat sitting in bathroom sink.	3.4
1429	main-captions	images	2014	637	none	none	young woman in riding gear on top of horse.	young girl in riding gear on a horse.	4.4
1430	main-captions	images	2014	638	none	none	two people are sailing a small boat.	two women in a sailboat.	3.8
1431	main-captions	images	2014	639	none	none	a small bird on a tiny branch.	a small bird perched on an icy branch.	3
1432	main-captions	images	2014	640	none	none	two animals sitting on a rock.	two eagles sitting on a long branch.	1.6
1433	main-captions	images	2014	641	none	none	two cats sit on the back of a couch looking out the window.	two cats are sitting on the back of a couch and looking out the window in a sea photo.	4.2
1434	main-captions	images	2014	644	none	none	two young women shear a sheep.	two women sheering a sheep.	4.4
1435	main-captions	images	2014	646	none	none	the young rider takes a ride on the brown horse.	a young female rider on a brown horse.	3.8
1436	main-captions	images	2014	647	none	none	six people are seated at a restaurant table and looking into the camera.	a group of people sitting at a restaurant table.	3
1437	main-captions	images	2014	648	none	none	little white lamb with nose to wood.	a white lamb with its nose against a wooden box.	3.8
1438	main-captions	images	2014	652	none	none	a young girl riding a white and grey horse.	a little girl is riding a white and grey horse.	4.6
1439	main-captions	images	2014	653	none	none	a black dog stands next to materials at a construction site.	a black dog standing in a room being constructed.	3.2
1440	main-captions	images	2014	655	none	none	a bird is flapping its wings in the water.	a black swan flapping its wings on the water.	3.6
1441	main-captions	images	2014	657	none	none	a black and white cat lying on a blanket.	a black and white cat laying on a cat bed.	3.75
1442	main-captions	images	2014	658	none	none	young woman in riding gear on top of horse.	the woman is riding on the brown horse.	3.8
1443	main-captions	images	2014	659	none	none	a plane being readied for take-off.	a small turboprop plane being loaded on the tarmac.	3.4
1444	main-captions	images	2014	660	none	none	a white leather couch with a purse and throw blanket on it.	a television with a show on.	0
1445	main-captions	images	2014	663	none	none	a kitchen with wooden cabinets and furniture.	kitchen with wooden table and cabinets.	4.2
1446	main-captions	images	2014	671	none	none	the cat is attacking a corn husk broom.	grey and white cat sitting in bathroom sink.	0.8
1447	main-captions	images	2014	673	none	none	a couple holds a baby.	couple with newborn baby.	4.2
1448	main-captions	images	2014	674	none	none	a small bird eating from the feeder.	bird eating from a bird feeder.	4.25
1449	main-captions	images	2014	675	none	none	close up of a white sheep with a black head.	a close-up of a sheep with a black head.	4
1450	main-captions	images	2014	677	none	none	a young boy laying on a sofa with a dog.	a small boy laying on a sofa with a dog.	5
1451	main-captions	images	2014	678	none	none	a red bird is perched in a tree.	a small red and grey bird perched in a tree.	3.2
1452	main-captions	images	2014	679	none	none	two buses parked on a street.	yellow scooter parked in an alley way.	0.4
1453	main-captions	images	2014	680	none	none	a black and white dog looking at the camera.	a grey, black, and white cat looking at the camera.	1
1454	main-captions	images	2014	682	none	none	a train is on the railroad tracks.	a train on the train tracks.	4.8
1455	main-captions	images	2014	684	none	none	large silver locomotive engine in a shed.	a close-up of a silver train engine with a red stripe.	3
1456	main-captions	images	2014	685	none	none	a women sitting at a table drinking with a basketball picture in the background.	a woman in a sari drinks something while sitting at a table.	2.6
1457	main-captions	images	2014	686	none	none	a green steam engine traveling on the railroad tracks.	a black steam train traveling on the railroad tracks.	3
1458	main-captions	images	2014	687	none	none	a small red car on top of a semi truck.	red sports car on top of white semi truck.	4
1459	main-captions	images	2014	688	none	none	the man poses for a photo in front of the train.	a man stands on a platform in front of a silver train.	3.4
1460	main-captions	images	2014	689	none	none	a bicyclist in black on a black and red racing bike.	a cyclist in black and white lira speeding past spectators.	3.4
1461	main-captions	images	2014	690	none	none	a kitchen sink and countertop with bowls on shelves.	a small kitchen with items stacked on the shelves and on the counter.	3.8
1462	main-captions	images	2014	693	none	none	a television in a messy room with several bookcases.	a room with a television, stereo and bookshelf.	3.2
1463	main-captions	images	2014	694	none	none	a black and white cat sleeping on its side on a purple blanket.	a black and white cat laying on the ground in the sun.	2.8
1464	main-captions	images	2014	695	none	none	a woman riding a bicycle on a large concrete area.	a women riding a mountain bike on a large concrete area.	3.8
1465	main-captions	images	2014	696	none	none	two cows standing in a large field.	the cow is grazing in a field.	2.8
1466	main-captions	images	2014	697	none	none	a bald man touches the nose of a black horse on the other side of a fence.	a bald man with a beard pets the nose of a black and white horse at the fence.	3.4
1467	main-captions	images	2014	698	none	none	a man is standing next to a yellow sports car.	a man stands next to a yellow corvette.	4
1468	main-captions	images	2014	702	none	none	a black and white photo of cows in their stalls.	a black and white photo of cattle at a trough.	3.2
1469	main-captions	images	2014	705	none	none	double decker bus with the london eye ferris wheel in background.	a brown double decker tour bus on a street with a ferris wheel behind it.	4.2
1470	main-captions	images	2014	706	none	none	a yellow and black bird eats from a bird feeder.	a flock of birds flying over a body of water.	0.6
1471	main-captions	images	2014	709	none	none	a man stands in front of a train.	a man stands on a platform in front of a silver train.	3.8
1472	main-captions	images	2014	710	none	none	a small plane parked at an airfield with a cloudy sky overhead.	a small white plane parked in an airport on a cloudy day.	4.6
1473	main-captions	images	2014	711	none	none	a boat is on the water near a small plane.	a boat is in the water and a small airplane is on the dock.	3.4
1474	main-captions	images	2014	712	none	none	a man riding a white horse in an arena.	a domestic animal stands in a pen.	0.6
1475	main-captions	images	2014	713	none	none	a macintosh computer sitting on the floor.	a computer on the floor.	4.2
1476	main-captions	images	2014	715	none	none	a black and white cat is sitting on a brown chair looking up.	a dog sitting on a yellow chair next to a green dumpster.	0.4
1477	main-captions	images	2014	716	none	none	sheep standing in afield.	a large dog stands next to a sheep in a field.	2.8
1478	main-captions	images	2014	717	none	none	group of elderly people sitting around a table.	a group of elderly people pose around a dining table.	3.4
1479	main-captions	images	2014	719	none	none	three women with brown hair are smiling.	three women in indian dresses in a crowded room smiling.	2.8
1480	main-captions	images	2014	720	none	none	a black and white photo of an empty train station.	a black and white photo of a cat sitting on a sofa.	1.6
1481	main-captions	images	2014	722	none	none	two dogs in a fenced kennel look ahead.	two girls on a guy posing on the bow a boat.	0
1482	main-captions	images	2014	724	none	none	a black and white cow looking through the fence.	a black and white cat laying on the ground in the sun.	0.6
1483	main-captions	images	2014	725	none	none	several people on motorcycles in a market square.	people ride mopeds in an urban setting.	1.8
1484	main-captions	images	2014	726	none	none	a close-up of a sheep in the grass.	a close-up of a lamb with its ear tagged, standing on grass.	1.8
1485	main-captions	images	2014	727	none	none	domestic cat laying on back of cat litter.	tan domestic cat under black tarp.	2
1486	main-captions	images	2014	729	none	none	two green birds fly towards a wooden telephone pole.	two green birds flying above the telephone wires.	3.2
1487	main-captions	images	2014	730	none	none	a person sitting on a motorcycle while a man stands by.	a man stands next to a helmeted man on a motorcycle in an empty parking lot.	3
1488	main-captions	images	2014	731	none	none	three cows grazing in a field.	two cows graze in a field.	2.6
1489	main-captions	images	2014	735	none	none	a blue bird perched on a gloved hand.	a bird is perched on a person's gloved hand.	4.4
1490	main-captions	images	2014	737	none	none	a baby holds a ketchup packet.	a baby in a highchair holds a ketchup packet.	4
1491	main-captions	images	2014	738	none	none	a close-up view of a horse's head.	a close-up of a brown horse's head.	4.2
1492	main-captions	images	2014	740	none	none	a train is at a train station.	a train in a station.	5
1493	main-captions	images	2014	741	none	none	a dark brown horse standing in a field.	horse standing in a field.	3.6
1494	main-captions	images	2014	743	none	none	a small cat laying on a wooden beam looking up at the camera.	the small dog is wearing a sweater and looking up at the camera.	0.8
1495	main-captions	images	2014	744	none	none	the black bird is sitting on the ground.	the bird is sitting on the branch.	2.5
1496	main-captions	images	2014	749	none	none	a small brown birds is eating from a bird feeder hanging from a tree.	a small red and grey bird perched in a tree.	2
1497	main-captions	images	2015	3	none	none	a pair of dogs playing with a purple ball.	two dogs play with purple football.	4.40
1498	main-captions	images	2015	4	none	none	a bird lands in the water.	a boat floats in the water.	0.60
1499	main-captions	images	2015	7	none	none	three children stand on or near a fence.	the three children are standing on and by a fence.	4.60
1500	main-captions	images	2015	8	none	none	a black dog emerges from the water with a white ball in its mouth.	a black dog walking out of the water with a white ball in his mouth.	4.80
1501	main-captions	images	2015	11	none	none	a girl in a purple shirt and pink headband posing	a young girl wearing a hat and blue jeans is on a swing.	0.40
1502	main-captions	images	2015	13	none	none	a brown dog digging a hole in front of a plant	a group of people walking on the side of a railroad track.	0.00
1503	main-captions	images	2015	15	none	none	the brown and white dog swims in a swimming pool.	a brown and white dog swims in a backyard swimming pool.	4.60
1504	main-captions	images	2015	17	none	none	a boy in a red sled is riding down the hill.	a multicolour dog in a red collar crouching on the grass.	0.00
1505	main-captions	images	2015	23	none	none	a black and brown dog runs through the woods.	a dog running through the woods.	4.00
1506	main-captions	images	2015	25	none	none	the two dogs are running on the grass.	two dogs are playing in the grass.	4.40
1507	main-captions	images	2015	32	none	none	a young girl holds up a peace sign.	a little girl holds onto a pole on a city street.	0.60
1508	main-captions	images	2015	33	none	none	a man is hanging by a line off a cliff above water.	man sitting by himself on a pier with a bottle of water.	0.60
1509	main-captions	images	2015	34	none	none	a man crouching and holding a camera.	the crouching man is holding a large camera.	4.60
1510	main-captions	images	2015	36	none	none	man riding a bicycle down a narrow path.	a man riding a unicycle down a paved road	2.60
1511	main-captions	images	2015	37	none	none	a man wearing an orange coat speaks to another as they walk in the snow.	a man and woman dressedin old fashion clothing sit outside at a table.	0.60
1512	main-captions	images	2015	42	none	none	a dog is jumping up in the air to catch a toy.	a black dog jumps in the air to catch a toy.	4.00
1513	main-captions	images	2015	45	none	none	a brown dog laying on a blue cover.	a person is diving into clear blue water.	0.00
1514	main-captions	images	2015	46	none	none	the two boys play in the field.	the two people have their heads covered with scarves.	0.00
1515	main-captions	images	2015	59	none	none	the two dogs are running through the grass.	three dogs run in the snow.	2.20
1516	main-captions	images	2015	63	none	none	a boy with a broken arm is resting in a bed.	a boy with a broken arm is sleeping.	4.00
1517	main-captions	images	2015	66	none	none	boy doing tricks on a skateboard	a boy does a trick on a skateboard.	4.80
1518	main-captions	images	2015	77	none	none	three dogs playing in the snow.	three dogs are playing in the water.	2.60
1519	main-captions	images	2015	78	none	none	a little girl with a ribbon in her hair is picking her nose.	a little girl in a purple shirt and helmet is riding on a scooter.	1.20
1520	main-captions	images	2015	85	none	none	a young girl going down a tube slide.	a young girl swinging off a tire swing	1.80
1521	main-captions	images	2015	89	none	none	many people are in the bicycle racing, including one man in a three-wheeled bike.	a man riding on a three-wheeled wheelchair.	2.60
1522	main-captions	images	2015	93	none	none	a group of people are wearing bunny ears.	a group of people ride in a race	0.80
1523	main-captions	images	2015	96	none	none	"a dog in a ""superman"" shirt sleeps on a blanket."	a brown dog in a superman shirt is laying on a blue blanket.	4.00
1524	main-captions	images	2015	101	none	none	the white and brown dog runs across the grass.	a brown and white dog runs across the grass.	4.80
1525	main-captions	images	2015	108	none	none	a brown dog is resting its paws on a laptop keyboard.	a dog sits with its paws on a laptop computer.	3.80
1526	main-captions	images	2015	109	none	none	a young girl with glasses sits and holds two american flags.	a girl in glasses is looking over two american flags near a wooded area.	2.60
1527	main-captions	images	2015	110	none	none	a small white and brown dog is jumping over a horizontal pole.	a brown and white dog jumping over a red and yellow pole	3.00
1528	main-captions	images	2015	118	none	none	two dogs are running through a grassy area.	two dogs running through a grassy field.	4.80
1529	main-captions	images	2015	123	none	none	a man is swinging on a rope above the water.	a man in warm clothes swinging on monkey bars at night.	1.60
1530	main-captions	images	2015	125	none	none	two asian men and asian woman sit in black massage chairs.	two asian men and a woman are relaxing in massage chairs.	4.60
1531	main-captions	images	2015	129	none	none	a girl playing is a pile of colorful balls.	a little girl plays in a pit of colorful balls.	5.00
1532	main-captions	images	2015	133	none	none	an older man is standing outside in front of a truck.	a woman dressed in green is roller skating outside at an event.	0.00
1533	main-captions	images	2015	135	none	none	smiling man with reflective classes.	a gentleman smiling and showing his reflective sunglasses.	4.60
1534	main-captions	images	2015	136	none	none	five people standing on a sidewalk	five people on a sidewalk.	4.80
1535	main-captions	images	2015	142	none	none	the white dog runs across the snow.	a white bear walks along snow-covered ground and casts a shadow on the snow.	1.40
1536	main-captions	images	2015	146	none	none	a young boy in a brown jacket playing with snow.	two dogs are playing in the snow.	1.20
1537	main-captions	images	2015	151	none	none	a man picking up a big rock.	a woman picking up a large rock.	2.40
1538	main-captions	images	2015	152	none	none	a white and brown dog is running over grass.	a brown and white dog is running across the grass.	4.60
1539	main-captions	images	2015	157	none	none	man is carrying a tool box down the sidewalk.	a woman is riding a blue bicycle in a park.	0.00
1540	main-captions	images	2015	158	none	none	"a man wearing a t-shirt that says ""gigolo"" stands at the counter talking to someone."	"a man wearing a shirt that says ""gigolo"" is standing at a front desk area with his back to the camera."	3.40
1541	main-captions	images	2015	159	none	none	a tent and a campsite in a sunlit forest.	a white dog on a beach is carrying a stick in its mouth.	0.00
1542	main-captions	images	2015	160	none	none	two large dogs running in some grass.	two brindle dogs running in the grass.	4.20
1543	main-captions	images	2015	161	none	none	a dog swimming with a stick in it's mouth.	a dog running with a stick in it's mouth.	2.60
1544	main-captions	images	2015	173	none	none	a man playing fetch with two brown dogs.	a woman plays with a brown dog.	2.33
1545	main-captions	images	2015	176	none	none	a dog is running across the sand with a stick in it's mouth.	a dog is running through a creek with a stick in its mouth.	3.60
1546	main-captions	images	2015	177	none	none	a man is standing in water near a waterfall.	a man wades in the water and watches a water fall.	3.40
1547	main-captions	images	2015	184	none	none	a tan dog jumps up to catch a tennis ball.	a red dog jumps an catches a tennis ball in its mouth.	3.00
1548	main-captions	images	2015	186	none	none	the man is jumping into the water.	the man is up in the air.	2.40
1549	main-captions	images	2015	188	none	none	a woman in a black shirt stands in front of bananas at a fruit stand.	a woman wearing black stands in front of a pickup truck.	2.40
1550	main-captions	images	2015	189	none	none	a child is jumping into a swimming pool.	a dog jumping into a swimming pool.	1.20
1551	main-captions	images	2015	193	none	none	a little boy jumping from one chair to another.	a young boy jumping from one chair to another in his house	4.80
1552	main-captions	images	2015	194	none	none	a girl swings her long, wet hair in a lake.	a person riding a dirt bike.	0.00
1553	main-captions	images	2015	195	none	none	two dogs playing by the shore.	two dogs playing in the snow.	2.80
1554	main-captions	images	2015	196	none	none	a little girl walks on a boardwalk with blue domes in the background.	a man going over a jump on his bike with a river in the background	0.00
1555	main-captions	images	2015	201	none	none	two women sitting on a bench, their faces obscured, with one woman carrying an inflatable tiger and the other woman in a disney snow white costume.	a girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit.	2.20
1556	main-captions	images	2015	202	none	none	a guy and two girls are smiling at the camera.	three dogs, one white and two brown, are running together on a field of grass.	0.00
1557	main-captions	images	2015	203	none	none	a dog swimming with a stick in it's mouth.	dog swimming in the water with a stick in its mouth.	5.00
1558	main-captions	images	2015	205	none	none	a black poodle plays in the snow.	a black poodle frolics in the snow.	5.00
1559	main-captions	images	2015	208	none	none	two girls holding up a scary movie flyer	two girls holding sacks are standing in a field.	1.40
1560	main-captions	images	2015	210	none	none	three boys are running on the beach playing a game.	two young boys and one young man run on a beach with water behind them.	3.20
1561	main-captions	images	2015	213	none	none	a girl is wearing a purple sash and matching skirt.	a group of girls stands wearing jean skirts and superman shirts.	1.60
1562	main-captions	images	2015	219	none	none	a man wearing a grey jacket standing on the side of a street.	a boy wearing a blue life jacket is holding onto the side of a green boat.	0.60
1563	main-captions	images	2015	220	none	none	a brown and black dog is jumping to catch a red ball.	a brown and black dog jumps for a red ball.	5.00
1564	main-captions	images	2015	222	none	none	the tan dog runs through the leaves.	the white dog runs through the ocean.	1.80
1565	main-captions	images	2015	223	none	none	a white and black dog is jumping into a pool.	a woman in a black apron is standing in front of a mirror.	0.00
1566	main-captions	images	2015	224	none	none	a black and white dog is carrying a stick in its mouth.	the black and white dog has a stick in his paws.	3.00
1567	main-captions	images	2015	225	none	none	a deer jumps a fence.	a deer jumping over a fence.	5.00
1568	main-captions	images	2015	228	none	none	a little girl holds a wooden stick.	a little girl swimming in a pool.	2.20
1569	main-captions	images	2015	229	none	none	a black dog jumps through the water.	a dog walks through the snow.	2.40
1570	main-captions	images	2015	230	none	none	a group of people in front of a red fire truck.	a group of people are standing around a red fire truck.	4.20
